Nr. orders	100
orderID,productID,qty
1,807,1
1,722,1
1,303,1
1,814,1
1,837,1
1,35,1
1,165,1
1,642,1
2,868,1
2,201,1
2,224,1
2,618,1
2,490,1
2,494,1
3,174,1
3,29,1
3,138,1
3,823,1
3,401,1
3,751,1
3,797,1
3,411,1
3,407,1
3,125,1
3,168,1
3,153,1
3,695,1
3,413,1
3,95,1
3,448,1
3,79,1
3,781,1
3,212,1
4,232,1
4,477,1
4,125,1
4,862,1
4,615,1
4,765,1
4,734,1
4,633,1
5,404,1
5,240,1
5,422,1
5,812,1
5,388,1
5,461,1
5,614,1
5,530,1
5,12,1
5,792,1
5,809,1
6,478,1
6,804,1
6,589,1
6,176,1
6,469,1
6,334,1
6,118,1
6,216,1
6,9,1
6,726,1
6,584,1
6,719,1
6,461,1
6,43,1
6,333,1
7,305,1
7,563,1
7,164,1
7,441,1
7,534,1
7,818,1
8,654,1
8,838,1
8,772,1
8,100,1
8,861,1
9,203,1
9,591,1
9,334,1
9,232,1
9,361,1
9,180,1
9,118,1
9,54,1
9,800,1
9,108,1
9,170,1
9,751,1
9,767,1
9,519,1
9,784,1
9,827,1
9,707,1
9,717,1
9,202,1
9,758,1
9,347,1
9,613,1
9,82,1
9,52,1
10,152,1
10,629,1
10,744,1
10,546,1
10,258,1
10,311,1
10,123,1
10,223,1
10,750,1
10,111,1
10,824,1
10,484,1
10,237,1
10,208,1
10,415,1
11,389,1
11,268,1
11,539,1
11,778,1
11,405,1
11,626,1
11,668,1
11,307,1
11,97,1
11,290,1
11,861,1
11,502,1
11,260,1
11,299,1
11,602,1
11,877,1
11,899,1
11,240,1
11,366,1
12,260,1
12,267,1
12,78,1
12,691,1
12,523,1
12,411,1
12,814,1
12,309,1
12,33,1
13,74,1
13,158,1
13,285,1
13,109,1
13,460,1
13,65,1
13,763,1
13,200,1
13,791,1
13,798,1
13,324,1
14,412,1
14,204,1
14,845,1
14,481,1
14,11,1
14,422,1
14,35,1
14,319,1
14,652,1
14,468,1
14,899,1
14,324,1
14,160,1
14,775,1
15,333,1
15,228,1
15,481,1
15,42,1
15,713,1
15,675,1
15,28,1
15,621,1
15,585,1
15,166,1
15,458,1
15,285,1
15,599,1
15,610,1
15,133,1
15,78,1
15,436,1
15,875,1
15,813,1
15,695,1
15,261,1
15,396,1
15,178,1
16,483,1
16,728,1
16,524,1
16,399,1
16,657,1
16,684,1
16,53,1
16,80,1
16,757,1
16,579,1
16,357,1
16,493,1
16,587,1
16,892,1
16,748,1
16,564,1
17,398,1
17,503,1
17,214,1
17,183,1
17,808,1
17,712,1
17,53,1
17,684,1
17,38,1
17,283,1
17,24,1
17,706,1
17,327,1
17,162,1
17,175,1
17,531,1
17,60,1
17,76,1
17,651,1
17,467,1
18,804,1
18,855,1
18,526,1
18,261,1
18,117,1
18,344,1
18,549,1
18,682,1
19,278,1
