Nr. orders	100
orderID,productID,qty
1,85,1
1,45,1
1,61,1
1,75,1
1,348,1
1,59,1
1,55,1
1,874,1
1,454,1
1,76,1
1,70,1
1,53,1
1,17,1
1,760,1
1,43,1
1,553,1
1,71,1
1,661,1
1,595,1
1,68,1
1,308,1
2,476,1
2,879,1
2,736,1
2,712,1
2,838,1
2,89,1
2,18,1
2,518,1
2,79,1
2,6,1
3,440,1
3,829,1
3,720,1
3,36,1
3,569,1
3,372,1
3,80,1
3,539,1
3,1,1
3,90,1
3,28,1
3,60,1
3,314,1
3,633,1
3,44,1
3,64,1
3,772,1
3,66,1
4,61,1
4,21,1
4,313,1
4,475,1
4,421,1
4,660,1
4,812,1
4,295,1
5,12,1
5,841,1
5,288,1
5,54,1
5,11,1
5,282,1
5,16,1
5,445,1
5,292,1
5,832,1
5,89,1
5,46,1
5,23,1
5,72,1
5,19,1
5,589,1
5,430,1
5,50,1
5,339,1
5,716,1
5,718,1
5,742,1
5,708,1
6,84,1
6,581,1
6,29,1
6,843,1
6,60,1
6,694,1
6,602,1
6,86,1
6,548,1
6,82,1
6,520,1
6,880,1
6,732,1
6,362,1
6,460,1
7,768,1
7,620,1
7,615,1
7,388,1
7,1,1
7,666,1
7,423,1
7,483,1
7,36,1
7,79,1
7,674,1
7,632,1
8,773,1
8,864,1
8,65,1
8,718,1
8,55,1
8,605,1
8,736,1
8,688,1
8,647,1
8,865,1
8,819,1
8,6,1
8,708,1
8,39,1
8,33,1
8,62,1
8,675,1
8,7,1
8,22,1
8,665,1
8,73,1
8,63,1
8,534,1
9,8,1
9,46,1
9,547,1
9,309,1
9,47,1
9,387,1
9,394,1
9,88,1
9,76,1
9,25,1
9,19,1
9,5,1
9,35,1
9,758,1
9,23,1
9,40,1
9,524,1
10,886,1
10,42,1
10,12,1
10,5,1
10,68,1
10,742,1
10,90,1
10,365,1
10,47,1
10,672,1
10,8,1
10,85,1
11,43,1
11,638,1
11,49,1
11,85,1
11,82,1
11,56,1
11,325,1
11,11,1
11,355,1
11,76,1
11,32,1
11,433,1
11,67,1
11,25,1
11,21,1
11,20,1
11,16,1
11,60,1
11,602,1
11,90,1
11,282,1
11,573,1
11,661,1
12,40,1
12,637,1
12,626,1
12,692,1
12,69,1
12,492,1
12,402,1
12,1,1
12,544,1
12,44,1
12,60,1
12,63,1
12,869,1
12,26,1
12,27,1
12,47,1
12,52,1
12,28,1
12,583,1
12,387,1
12,15,1
12,54,1
13,339,1
13,80,1
13,533,1
13,75,1
13,285,1
13,858,1
13,1,1
13,2,1
13,456,1
13,627,1
13,57,1
13,40,1
13,85,1
13,26,1
13,379,1
13,60,1
13,16,1
13,709,1
14,2,1
14,466,1
14,779,1
14,566,1
14,859,1
14,46,1
14,78,1
14,505,1
14,644,1
14,647,1
14,830,1
14,60,1
14,12,1
14,84,1
15,867,1
15,54,1
15,27,1
15,20,1
15,387,1
15,17,1
15,39,1
15,22,1
15,289,1
15,632,1
15,440,1
15,1,1
15,2,1
15,293,1
15,735,1
16,20,1
16,57,1
16,5,1
16,50,1
16,31,1
16,800,1
16,741,1
16,39,1
16,359,1
16,62,1
16,48,1
16,72,1
16,358,1
16,63,1
16,56,1
16,84,1
